study,prop_id,question,text,short,truth,congenial,p_Democrat,p_Republican,n_Democrat,n_Republican,estimate,std_error,lower,upper,measure
mturk_july,j_birth,birth,Barack Obama was born in the US,Obama born in the U.S.,TRUE,R,0.01935483870967742,0.1323529411764706,155,68,0.11299810246679318,0.042558342350936036,0.029585284217232874,0.19641092071635347,scale_strict
mturk_july,j_death,death,The Affordable Care Act does not create government panels to make decisions about end-of-life care,ACA creates no death panels,TRUE,R,0.06451612903225806,0.08823529411764706,155,68,0.023719165085389002,0.039654319232314876,-0.05400187244140213,0.10144020261218013,scale_strict
mturk_july,j_deficit,deficit,"Since 2012, the annual federal budget deficit has increased",Deficit has risen since 2012,FALSE,R,0.2129032258064516,0.4411764705882353,155,68,0.22827324478178368,0.06860551776379593,0.0938089008240208,0.36273758873954653,scale_strict
mturk_july,j_fraud,fraud,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",Trump won most legal votes,FALSE,R,0.03870967741935484,0.14705882352941177,155,68,0.10834914611005693,0.045658169860330965,0.018860777583796076,0.19783751463631777,scale_strict
mturk_july,j_illegal,illegal,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,ACA helps illegal immigrants buy insurance,FALSE,R,0,0.08823529411764706,155,68,0.08823529411764706,0.034396012719846096,0.02082034797496715,0.15565024026032698,scale_strict
mturk_july,j_increase,increase,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",Warming is human-caused,TRUE,R,0.012903225806451613,0.16176470588235295,155,68,0.14886148007590133,0.045565824017441595,0.05955410607582565,0.23816885407597702,scale_strict
mturk_july,j_mmr,mmr,"The vaccine for measles, mumps, and rubella (MMR) causes autism in children",MMR vaccine causes autism,FALSE,none,0.0064516129032258064,0.014705882352941176,155,68,0.00825426944971537,0.015951094303362338,-0.023009300898876824,0.039517839798307565,scale_strict
mturk_july,j_religion,religion,Barack Obama is a Muslim,Obama is a Muslim,FALSE,R,0.01935483870967742,0.10294117647058823,155,68,0.08358633776091082,0.0384767119727435,0.008173368050812493,0.15899930747100915,scale_strict
mturk_july,j_science,science,Most climate scientists believe that global warming is not occurring,Most scientists doubt warming,FALSE,R,0.025806451612903226,0.014705882352941176,155,68,-0.01110056925996205,0.019372126224747283,-0.0490692389644306,0.0268681004445065,scale_strict
mturk_march,m_aca_cuts_benefits,aca2,Cuts benefits to existing Medicare patients,ACA cuts Medicare benefits,FALSE,R,0.016129032258064516,0.09375,248,160,0.07762096774193548,0.024392484605876348,0.029812576420970162,0.1254293590629008,scale_strict
mturk_march,m_aca_death_panel,aca2,Creates government panels to make end-of-life decisions for people on Medicare,ACA creates death panels,FALSE,R,0.016129032258064516,0.0875,248,160,0.07137096774193548,0.02372785037404178,0.024865235578258357,0.1178766999056126,scale_strict
mturk_march,m_aca_illegal,aca1,Provides coverage for people who are currently in the country illegally,ACA covers illegal immigrants,FALSE,R,0.036290322580645164,0.1625,248,160,0.12620967741935485,0.03148979913987239,0.0644908052248046,0.1879285496139051,scale_strict
mturk_march,m_aca_mammograms,aca1,Reimburse routine mammograms only for women older than 50,ACA covers mammograms only over 50,FALSE,R,0.056451612903225805,0.04375,248,160,-0.012701612903225808,0.02182320193872262,-0.055474302730466815,0.0300710769240152,scale_strict
mturk_march,m_aca_payroll_tax,aca1,Increases the Medicare payroll tax for upper-income Americans,ACA raises payroll tax on high earners,TRUE,none,0.16129032258064516,0.1125,248,160,-0.048790322580645154,0.03419780971354064,-0.1158167979693388,0.018236152808048495,scale_strict
mturk_march,m_aca_provider_payments,aca2,Limits future increases in payments to Medicare providers,ACA limits provider payments,TRUE,D,0.22983870967741934,0.2125,248,160,-0.01733870967741935,0.04194830198182304,-0.09955587077440266,0.06487845141956396,scale_strict
mturk_march,m_aca_public_option,aca2,"Replaces Medicare with a ""public option""",ACA public option replaces Medicare,FALSE,none,0.04032258064516129,0.03125,248,160,-0.00907258064516129,0.018580741228430207,-0.045490164258943006,0.027345002968620427,scale_strict
mturk_march,m_aca_single_payer,aca1,"Replaces private health insurance with a ""single payer system""",ACA is single payer,FALSE,R,0.036290322580645164,0.1,248,160,0.06370967741935485,0.026523979949651364,0.011723631991375674,0.11569572284733402,scale_strict
