study,item,change,evidence
alumni;staff,true propositions (payroll tax; provider payments),"Skipped ratings are treated as don't know, not as 0 (definitely false)","The earlier recode (conf_10) replaced missing ratings with 0, which on a true proposition reads as misinformation; it raised alumni misinformation on provider payments from .152 to .184 and on the payroll tax from .177 to .209"
alumni;staff,ratings of 30 and 50,"Divided by 10","Both answers read as the questionnaire's 0-100 percentage scale; one answer of 11 is set to missing"
alumni;staff,sample,"Respondents with repeat attempts keep their first complete attempt; partial completes count only if they reached the health care items","One alumnus completed twice; staff partials include 23 never assigned an arm"
staff,sample,"Only staff panel IDs are kept","One alumni ID appears in the staff file"
mturk_march,sample,"Consented U.S. respondents only","Respondents outside the U.S. were never assigned to the format experiment"
mturk_march,multiple choice,"Both closed-format arms are pooled (557)","The earlier table used only the arm with open-ended probes (183); the probes followed the answers, so they cannot affect them"
mturk_march,greenhouse gases 1: respiratory problems; ozone layer,"Dropped","Ground-level ozone is a greenhouse gas and a respiratory irritant; nitrous oxide and CFCs are greenhouse gases that deplete stratospheric ozone"
mturk_march,greenhouse gases 2,"Dropped","A last-minute edit left two correct options (reduced by trees; produced more by clean coal than other fossil fuels)"
mturk_march,executive order: deportation,"Dropped","The most recent order (EO 13780) did not do this, but the January order (EO 13768) expanded removal priorities, so respondents could reasonably read the item either way"
mturk_march,greenhouse gases 1 and executive order (multiple choice),"Excluded from the format comparison","Each question keeps a dropped option, so a choice of that option cannot be scored"
mturk_july,deficit,"Keyed false (the deficit decreased)","CBO: $1,087 billion in FY2012, $585 billion in FY2016. Earlier code keyed 'increased' as correct"
mturk_july,scale denominators,"'Not applicable' counts as don't know and stays in the denominator","The earlier table divided by those who rated; the multiple-choice denominators include don't knows"
mturk_july,arms,"Only the 14k (multiple choice with DK), 24k (0-10 scale) and RW (media wording) arms are used","The FSR and IPS arms vary wording features studied in other papers"
