key,validation,doi_or_url,note
althaus1998,crossref_doi (reused verbatim),10.2307/2585480,"Year placeholder resolved to 1998 APSR: the endnote pairs it with Delli Carpini & Keeter's simulations of fully informed preferences, which the 1998 article introduced"
berinsky2009,crossref_doi,10.7208/chicago/9780226043463.001.0001,Ref list author misspelled 'Belinsky' in 04-08-18 (correct in 04-04-18-gs)
berinsky2012,crossref_doi,10.1093/pan/mpr057,Not in ref list (04-08-18 only)
bullock2015,crossref_doi,10.1561/100.00014074,Not in ref list (04-08-18 endnote only)
cook2016,crossref_doi,10.1088/1748-9326/11/4/048002,Added for this manuscript
cor2016,crossref_doi (reused verbatim),10.1093/pan/mpw010,
debell2013,crossref_doi,10.1093/pan/mpt010,Placeholder in both latest drafts; 09-02-17 draft gives 'DeBell 2013'. Not in ref list
dellicarpini1996,isbn (reused verbatim),isbn:9780300062564,
festinger1957,crossref_doi,10.1515/9781503620766,Never cited in any draft body
flynn2017,crossref_doi,10.1111/pops.12394,Added for this manuscript
frankovic2016,web_page,https://today.yougov.com/topics/politics/articles-reports/2016/12/27/belief-conspiracies-largely-depends-political-iden,"Placeholder resolved: Economist/YouGov Dec 2016 poll, six in ten Trump voters believed millions voted illegally. Pew 2010 added for the Obama-Muslim claim in the same sentence"
gaines2007,crossref_doi,10.1111/j.1468-2508.2007.00601.x,"Year wrong: JOP 69(4) is 2007, not 2008. Cited in earlier drafts"
gibson2009,crossref_doi (reused verbatim),10.1017/s0022381609090379,
graham2023,crossref_doi,10.1017/s0003055422000387,"Online July 2022; print APSR 117(1), Feb 2023"
hofstetter1999,crossref_doi,10.1177/106591299905200205,Cited in earlier drafts
huff2015,crossref_doi,10.1177/2053168015604648,Not in ref list (04-08-18 only)
ipcc2013,crossref_doi,10.1017/CBO9781107415324.004,Added for this manuscript
iyengar2009,crossref_doi,10.1111/j.1460-2466.2008.01402.x,Earlier drafts cite the 2007 ICA conference version. Cited in 2011 drafts
krosnick2008,archived_url (reused verbatim),http://www.electionstudies.org/announce/newsltr/20080324PoliticalKnowledgeMemo.pdf,Cited in 2013-2017 drafts
kuklinski2000,crossref_doi,10.1111/0022-3816.00033,Year wrong: JOP 62(3) is 2000 (earlier drafts cite 2000 in text). Cited in earlier drafts
kull2003,crossref_doi,10.1002/j.1538-165x.2003.tb00406.x,"Ref list: Kull, Ramsay & Lewis 2003 PSQ 118(4) - matches"
kunda1990,crossref_doi,10.1037/0033-2909.108.3.480,Some earlier ref lists misname author 'Zeev'; correct 'Ziva'. Never cited in any draft body
li2020,crossref_doi,10.1093/joc/jqaa022,Added for this manuscript
lippmann1922,library_catalog (Open Library),https://openlibrary.org/search?q=lippmann+public+opinion,Author misspelled 'Lippman' (correct Lippmann); publisher 'Hartcourt' -> Harcourt. Never cited in any draft body
lord1979,crossref_doi,10.1037/0022-3514.37.11.2098,Cited in 2012-2013 drafts
luskin2002,crossref_doi (reused verbatim),10.1017/s0007123402000194,Not in ref list
